p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.7693219979192794,0.54,0.14,0,Fibroblasts,Snhg18
0,0.7673129164464343,0.932,0.72,0,Fibroblasts,Serpinb6a
0,0.7667531835258456,0.885,0.697,0,Fibroblasts,Atp5g1
0,0.7639255379616724,0.37,0.044,0,Fibroblasts,Plce1
0,0.7620351738745738,0.43,0.118,0,Fibroblasts,Grb10
0,0.7612052933973095,0.915,0.726,0,Fibroblasts,Ndufb11
0,0.7608770398865172,0.672,0.33,0,Fibroblasts,Rhoj
0,0.7599056201334238,0.385,0.006,0,Fibroblasts,Srpx
0,0.7598113392115244,0.949,0.76,0,Fibroblasts,Myl12a
0,0.7584143689063176,0.581,0.226,0,Fibroblasts,Plpp1
0,0.7545345577924478,0.916,0.663,0,Fibroblasts,Dnajc3
0,0.7528676192599881,0.426,0.159,0,Fibroblasts,Lox
0,0.7496879742178859,0.64,0.237,0,Fibroblasts,Gxylt2
0,0.7490062464487628,0.251,0.007,0,Fibroblasts,Serpina3n
0,0.7489577500654306,0.287,0.09,0,Fibroblasts,Ly6c1
0,0.7477375164702549,0.46,0.067,0,Fibroblasts,Kdelr3
0,0.7468556817517866,0.757,0.393,0,Fibroblasts,Rora
0,0.7448179011392232,0.334,0.024,0,Fibroblasts,Ntrk2
0,0.743223916657889,0.641,0.332,0,Fibroblasts,Sra1
0,0.7431249280890329,0.813,0.431,0,Fibroblasts,Gstm1
0,0.7411413668228141,0.692,0.379,0,Fibroblasts,Gtf2h5
0,0.740464702824297,0.969,0.826,0,Fibroblasts,Gpx4
0,0.7404366571684569,0.504,0.133,0,Fibroblasts,Ahnak2
0,0.7398522094461997,0.47,0.101,0,Fibroblasts,Gstm5
0,0.7356503158332903,0.997,0.902,0,Fibroblasts,Gnas
0,0.7282048422591422,0.426,0.081,0,Fibroblasts,Pdgfrb
0,0.7281345453585844,0.989,0.966,0,Fibroblasts,Chchd2
0,0.7263258549026567,0.58,0.277,0,Fibroblasts,Slc50a1
0,0.725130764202332,0.812,0.563,0,Fibroblasts,Atp5o
0,0.7241641679912376,0.548,0.259,0,Fibroblasts,Phlda1
0,0.7223525284131405,0.368,0.065,0,Fibroblasts,Adamtsl3
0,0.7215345731561781,0.458,0.184,0,Fibroblasts,Tmtc1
0,0.7206348132951405,0.794,0.472,0,Fibroblasts,Atraid
0,0.7176628328124031,0.912,0.762,0,Fibroblasts,Reep5
0,0.7173510733389703,0.441,0.097,0,Fibroblasts,Mmp14
0,0.7137778319630745,0.692,0.229,0,Fibroblasts,Lhfp
0,0.7129187269607202,0.478,0.144,0,Fibroblasts,Gulp1
0,0.706339635650325,0.361,0.008,0,Fibroblasts,Podn
0,0.7038721351156259,0.999,0.997,0,Fibroblasts,Rps4x
0,0.7014304197590643,0.722,0.392,0,Fibroblasts,Tm2d2
0,0.7006792682223404,0.389,0.079,0,Fibroblasts,Tenm3
0,0.6985948999989632,0.364,0.1,0,Fibroblasts,Fibin
0,0.6968126668584802,0.363,0.087,0,Fibroblasts,Lpl
0,0.6955912422522279,0.395,0.081,0,Fibroblasts,Gabra3
0,0.695398852377588,0.999,0.999,0,Fibroblasts,Fth1
0,0.6950141650943247,0.345,0.036,0,Fibroblasts,Fxyd6
0,0.6927444303690651,0.395,0.058,0,Fibroblasts,Angptl4
0,0.6900817340791298,0.444,0.145,0,Fibroblasts,Maged2
0,0.6895453987762824,0.472,0.113,0,Fibroblasts,Efemp2
0,0.6863050047545604,0.308,0.075,0,Fibroblasts,Slc4a4
0,0.6862770775311882,0.994,0.951,0,Fibroblasts,Hsp90b1
0,0.6843904399646983,0.694,0.394,0,Fibroblasts,Tmem167
0,0.684284375920966,0.743,0.453,0,Fibroblasts,Errfi1
0,0.6830300792132448,0.583,0.244,0,Fibroblasts,Setbp1
0,0.6826874662981581,0.717,0.378,0,Fibroblasts,Ybx3
0,0.6822787243944517,0.459,0.198,0,Fibroblasts,Daam1
0,0.6821581090130776,0.288,0.004,0,Fibroblasts,Lgi2
0,0.680895225883219,0.38,0.024,0,Fibroblasts,Tmem119
0,0.6808208274871264,0.347,0.022,0,Fibroblasts,Dclk1
0,0.6777858189348808,0.334,0.038,0,Fibroblasts,Flrt2
0,0.6750131679343161,0.917,0.821,0,Fibroblasts,Atp5e
0,0.6746601323086052,0.785,0.492,0,Fibroblasts,Fuca1
0,0.670664189172558,0.465,0.116,0,Fibroblasts,Pmm1
0,0.6698165733789956,0.382,0.099,0,Fibroblasts,Ntf3
0,0.6697290683121124,0.459,0.206,0,Fibroblasts,Axl
0,0.6689431810812241,0.787,0.494,0,Fibroblasts,Sdf4
0,0.6679126354913726,0.338,0.076,0,Fibroblasts,Cdh11
0,0.6653481251728619,0.697,0.402,0,Fibroblasts,Aprt
0,0.6645097605351031,0.562,0.173,0,Fibroblasts,Nox4
0,0.6633894533740321,0.746,0.279,0,Fibroblasts,Sgcd
0,0.6618432761763664,0.909,0.438,0,Fibroblasts,Pam
0,0.6598642414347942,0.907,0.689,0,Fibroblasts,Ndufb9
0,0.6594826108853553,0.563,0.196,0,Fibroblasts,Ablim1
0,0.659280441710512,0.95,0.788,0,Fibroblasts,Cfh
0,0.6585413893390039,0.324,0.031,0,Fibroblasts,Kcnj8
0,0.6582223863318774,0.56,0.204,0,Fibroblasts,Ghr
0,0.6560565195921497,0.447,0.092,0,Fibroblasts,Casc4
0,0.6549762588156389,0.473,0.15,0,Fibroblasts,Phlda3
