Description,NES,p.adjust,cell_type,negLog_padjust
GOBP REGULATION OF PEPTIDYL TYROSINE PHOSPHORYLATION,-2.117163503671781,0.0033526872170884844,allECs,2.4746069614023094
GOBP POSITIVE REGULATION OF CELL DEATH,-2.053003327579697,0.003421555128650839,allECs,2.4657764581882096
GOBP REGULATION OF LEUKOCYTE MEDIATED IMMUNITY,-2.1567801967446694,0.003579219796617327,allECs,2.4462116311637705
GOBP NIK NF KAPPAB SIGNALING,-2.1132897650632487,0.003579998064049812,allECs,2.4461172082088383
GOBP MORPHOGENESIS OF AN EPITHELIUM,-2.0583424397586954,0.004172446841246169,allECs,2.3796091877105536
GOBP CELLULAR ION HOMEOSTASIS,-2.0152209037312265,0.0042973906245092515,allECs,2.3667951679920614
GOBP REGULATION OF PRODUCTION OF MOLECULAR MEDIATOR OF IMMUNE RESPONSE,-2.089501760575828,0.004459188999991506,allECs,2.3507441199549732
GOBP WOUND HEALING,-1.972002687242718,0.004518551109481472,allECs,2.3450008010362327
GOBP NEGATIVE REGULATION OF CATALYTIC ACTIVITY,-1.8809833974425325,0.004756594760537462,allECs,2.322703846847728
GOBP RESPONSE TO PEPTIDE HORMONE,-2.0019529566082266,0.004917829635682722,allECs,2.308226520242371
GOBP MYELOID LEUKOCYTE MEDIATED IMMUNITY,-2.0524898135912633,0.004966382308713653,allECs,2.303959851802408
GOBP RESPONSE TO VIRUS,-2.106685463922131,0.004996591327276909,allECs,2.3013261701825067
GOBP NEGATIVE REGULATION OF KINASE ACTIVITY,-2.07055830399171,0.004996591327276909,allECs,2.3013261701825067
GOBP NEGATIVE REGULATION OF MYELOID CELL DIFFERENTIATION,-2.111215446812821,0.005161129144858153,allECs,2.287255273617989
GOBP TISSUE MORPHOGENESIS,-1.9562680006015147,0.005336801810982937,allECs,2.27271892498256
GOBP MYELOID CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE,-2.0641817689183024,0.005476734777023515,allECs,2.2614782902313677
GOBP REGULATION OF B CELL ACTIVATION,-2.0589816912308176,0.005487823153169126,allECs,2.2605998923523773
GOBP NEGATIVE REGULATION OF TRANSFERASE ACTIVITY,-2.056326793613417,0.005587857366647518,allECs,2.2527546880389764
GOBP REGULATION OF LYMPHOCYTE DIFFERENTIATION,-2.113705432996315,0.0056962108370345755,allECs,2.2444139442893714
GOBP CELLULAR RESPONSE TO PEPTIDE HORMONE STIMULUS,-2.0028815012329546,0.0056962108370345755,allECs,2.2444139442893714
GOBP POSITIVE REGULATION OF DEFENSE RESPONSE,-2.068207076010021,0.0058133678499461385,allECs,2.2355721955113066
GOBP CELLULAR RESPONSE TO PEPTIDE,-1.9853711080622847,0.005819131736926344,allECs,2.2351418108814194
GOBP MULTI MULTICELLULAR ORGANISM PROCESS,-2.100326942443282,0.006364927343177557,allECs,2.1962065495338385
GOBP POSITIVE REGULATION OF INTRACELLULAR SIGNAL TRANSDUCTION,-1.8002708298259162,0.0064108010332182665,allECs,2.1930877017492887
GOBP REGULATION OF CELL MORPHOGENESIS,-1.9377742845626045,0.006471506719347188,allECs,2.1889945935635806
GOBP REGULATION OF NIK NF KAPPAB SIGNALING,-2.0501869977223635,0.006509255920064533,allECs,2.1864686532565645
GOBP NEGATIVE REGULATION OF DEVELOPMENTAL PROCESS,-1.8590223654801676,0.006524364868610409,allECs,2.1854617594660404
GOBP METAL ION HOMEOSTASIS,-1.9268531884468234,0.007277193637842928,allECs,2.138036068842762
GOBP REGULATION OF EXOCYTOSIS,-2.081636488115418,0.007541811159060452,allECs,2.1225243461818915
GOBP IMMUNOGLOBULIN PRODUCTION,-2.0054363068238965,0.007577102701731949,allECs,2.120496826186867
GOBP NEGATIVE REGULATION OF IMMUNE RESPONSE,-2.07787509658901,0.007839074179934052,allECs,2.105735225872747
GOBP CIRCULATORY SYSTEM DEVELOPMENT,-1.7467072394213448,0.008483175814994562,allECs,2.071441532091731
